     K07T24U* C2007 10 11.26838 00 43 17.43 -14 27 58.9          20.3 Vrv8884703
     K07T24U  C2008 01 29.73432 07 41 21.25 +72 27 23.9          10.9 Vcx5521A78
     K07T24U  C2008 01 29.74996 07 53 43.69 +72 13 13.9          10.6 Rcx6349143
     K07T24U  C2008 01 29.76355 08 04 45.05 +71 58 37.2          10.6  ox6349619
     K07T24U  C2008 01 29.76425 08 05 15.84 +71 57 55.2          10.5  ox6349619
     K07T24U  C2008 01 29.76451 08 05 27.84 +71 57 38.7          10.5  ox6349619
     K07T24U  C2008 01 29.82053 08 44 31.81 +70 43 26.2          10.5 Rcx5521J46
     K07T24U  C2008 01 29.82231 08 43 31.41 +70 43 57.1           9.9 Vcx5521611
     K07T24U  C2008 01 29.82326 08 44 05.67 +70 42 32.2          10.1 Vcx5521611
     K07T24U  C2008 01 29.82482 08 47 07.02 +70 37 12.5          10.4 Rcx5521J46
     K07T24U  C2008 01 29.82707 08 48 27.30 +70 33 55.0          10.4 Rcx5521J46
     K07T24U  C2008 01 29.82981 08 47 58.39 +70 32 37.9          10.3 Vcx5521611
     K07T24U  C2008 01 29.83038 08 48 18.22 +70 31 46.0          10.2 Vcx5521611
     K07T24U  C2008 01 29.83087 08 48 35.44 +70 31 00.5          10.2 Vcx5521611
     K07T24U  C2008 01 29.83171 08 49 04.79 +70 29 43.2          10.2 Vcx5521611
     K07T24U  C2008 01 29.83229 08 49 24.89 +70 28 49.7          10.2 Vcx5521611
     K07T24U  C2008 01 29.83271 08 49 39.79 +70 28 10.2          10.3 Vcx5521611
     K07T24U  C2008 01 29.83315 08 49 54.73 +70 27 29.9          10.3 Vcx5521611
     K07T24U  C2008 01 29.83785 08 52 46.90 +70 22 22.8          10.8 Vcx5521A48
     K07T24U  C2008 01 29.83830 08 53 01.96 +70 21 40.7          10.8 Vcx5521A48
     K07T24U  C2008 01 29.83875 08 53 17.07 +70 20 58.0          10.8 Vcx5521A48
     K07T24U  C2008 01 29.83920 08 53 32.15 +70 20 16.6          10.9 Vcx5521A48
     K07T24U  C2008 01 29.83965 08 53 47.33 +70 19 33.1          10.8 Vcx5521A48
     K07T24U  C2008 01 29.84090 08 54 18.84 +70 18 08.4          10.5 Vcx6349595
     K07T24U  C2008 01 29.84373 08 55 52.85 +70 13 37.0          10.6 Vcx6349595
     K07T24U  C2008 01 29.85184 09 00 28.28 +69 59 06.4          10.9 Rcx6349143
     K07T24U  C2008 01 29.85589 09 02 36.13 +69 52 27.9          10.9 Rcx6349143
     K07T24U  C2008 01 29.86806 09 08 36.67 +69 33 14.5          10.4 Rrx5521235
     K07T24U  C2008 01 29.86898 09 09 04.22 +69 31 40.0          10.6 Rrx5521235
     K07T24U  C2008 01 29.87014 09 09 38.48 +69 29 41.8          10.6 Rrx5521235
     K07T24U  C2008 01 29.87130 09 10 12.48 +69 27 42.7          10.6 Rrx5521235
     K07T24U  C2008 01 29.87246 09 10 46.42 +69 25 43.6          10.5 Rrx5521235
     K07T24U  C2008 01 29.87336 09 11 11.02 +69 24 11.7          10.2 Rox5521473
     K07T24U  C2008 01 29.88128 09 14 57.44 +69 10 28.8          10.1 Rox5521473
     K07T24U  C2008 01 29.88921 09 18 36.61 +68 56 33.3          10.0 Rox5521473
     K07T24U  C2008 01 29.89567 09 21 29.98 +68 45 04.5          10.0 Rox5521473
     K07T24U  C2008 01 29.89906 09 22 59.12 +68 39 00.0           9.9 Rox5521473
     K07T24U  C2008 01 29.91487 09 30 26.94 +68 09 47.8          10.0  ox6349619
     K07T24U  C2008 01 29.91499 09 30 29.57 +68 09 36.4          10.1  ox6349619
     K07T24U  C2008 01 29.91509 09 30 32.12 +68 09 24.8          10.0  ox6349619
     K07T24U  C2008 01 29.93478 09 37 33.39 +67 35 28.9          10.5 Vox5521A81
     K07T24U  C2008 01 29.93556 09 37 50.69 +67 34 02.7          10.6 Vox5521A81
     K07T24U  C2008 01 29.93633 09 38 07.88 +67 32 36.6          10.6 Vox5521A81
     K07T24U  C2008 01 29.93664 09 38 14.70 +67 32 01.5          10.5 Vox5521A81
     K07T24U  C2008 01 29.94116 09 39 37.55 +67 19 37.3           9.9 Rox5521A35
     K07T24U  C2008 01 29.94162 09 39 47.41 +67 18 47.1           9.9 Rox5521A35
     K07T24U  C2008 01 29.94184 09 39 52.26 +67 18 21.9           9.9 Rox5521A35
