G3818K03R07X* C2003 09 06.26545 22 54 08.97 +25 11 23.6          18.2 Roi4170699
G3818K03R07X  C2004 04 30.67598 18 36 25.68 -30 01 26.8          18.9 Rrk6250E17
G3818K03R07X  C2004 05 02.26156 18 32 00.63 -29 16 34.4          17.2 Rrk6741859
G3818K03R07X  C2004 05 02.26270 18 32 00.30 -29 16 32.6          18.2 Rrk6741859
G3818K03R07X  C2004 05 02.26383 18 32 00.16 -29 16 31.6          17.7 Rrk6741859
G3818K03R07X  C2004 05 25.99098 17 15 42.06 -17 29 43.1          16.6 Vrk8111A16
G3818K03R07X  C2004 05 25.99261 17 15 41.80 -17 29 42.0          16.3 Vrk8111A16
G3818K03R07X  C2004 05 25.99310 17 15 41.75 -17 29 41.7          16.2 Vrk8111A16
G3818K03R07X  C2004 06 09.90501 16 36 27.06 -11 49 15.8          17.7 Vrk8680A16
G3818K03R07X  C2004 06 09.90713 16 36 26.79 -11 49 13.7          17.9 Vrk8680A16
G3818K03R07X  C2004 06 09.90784 16 36 26.69 -11 49 12.6          17.8 Vrk8680A16
G3818K03R07X  C2004 06 09.91309 16 36 26.01 -11 49 07.0          18.2 Vrk8680A16
G3818K03R07X  C2004 06 09.91396 16 36 25.91 -11 49 05.9          18.1 Vrk8680A16
G3818K03R07X  C2004 06 09.91606 16 36 25.66 -11 49 03.8          18.0 Vrk8680A16
G3818K03R07X  C2004 06 11.35663 16 33 31.98 -11 24 58.5          17.7 Rrk8680H41
G3818K03R07X  C2004 06 11.35828 16 33 31.78 -11 24 57.3          17.7 Rrk8680H41
G3818K03R07X  C2004 06 11.36015 16 33 31.54 -11 24 55.4          17.6 Rrk8680H41
G3818K03R07X  C2004 06 11.36211 16 33 31.36 -11 24 52.7          17.5 Rrk8680H41
G3818K03R07X  C2004 06 11.36362 16 33 31.12 -11 24 52.3          17.7 Rrk8680H41
G3818K03R07X  C2004 06 11.62364 16 33 01.51 -11 20 18.8          18.3 Rrk9037E17
G3818K03R07X  C2004 06 11.62663 16 33 01.15 -11 20 15.8          18.2 Rrk9037E17
G3818K03R07X  C2004 06 11.62962 16 33 00.79 -11 20 12.9          18.3 Rrk9037E17
G3818K03R07X  C2004 06 12.23823 16 31 52.65 -11 11 04.4          18.6  ck9037704
G3818K03R07X  C2004 06 12.24829 16 31 51.42 -11 10 54.8          18.3  ck9037704
G3818K03R07X  C2004 06 12.25827 16 31 50.23 -11 10 46.1          18.2  ck9037704
G3818K03R07X  C2004 06 12.26834 16 31 49.02 -11 10 36.4          19.0  ck9037704
G3818K03R07X  C2004 06 12.31686 16 31 43.08 -11 09 51.3          18.2 Rrk9037H41
G3818K03R07X  C2004 06 12.31869 16 31 42.71 -11 09 49.8          18.2 Rrk9037H41
G3818K03R07X  C2004 06 12.32037 16 31 42.52 -11 09 48.5          18.1 Rrk9037H41
G3818K03R07X  C2004 06 13.33561 16 29 51.91 -10 54 34.6          18.0 Rrk9037H41
G3818K03R07X  C2004 06 13.33748 16 29 51.75 -10 54 33.8          18.0 Rrk9037H41
G3818K03R07X  C2004 06 13.33942 16 29 51.53 -10 54 31.1          18.2 Rrk9037H41
G3818K03R07X  C2004 06 17.87732 16 22 40.91 -09 56 01.0          18.7 Vrk9037151
G3818K03R07X  C2004 06 17.87795 16 22 40.84 -09 56 00.5          18.5 Vrk9037151
G3818K03R07X  C2004 06 17.87997 16 22 40.60 -09 55 59.0          18.3 Vrk9037151
G3818K03R07X  C2004 06 17.88088 16 22 40.54 -09 55 58.0          18.4 Vrk9037151
G3818K03R07X  C2004 06 17.88237 16 22 40.38 -09 55 57.0          18.5 Vrk9037151
G3818K03R07X  C2004 06 18.93515 16 21 14.32 -09 44 28.0          18.0 Vrk9589170
G3818K03R07X  C2004 06 18.93825 16 21 14.06 -09 44 25.7          18.4 Vrk9589170
G3818K03R07X  C2004 06 18.93980 16 21 13.90 -09 44 25.0          18.2 Vrk9589170
G3818K03R07X  C2004 06 19.22712 16 20 51.54 -09 41 22.7          18.4  ck9589704
G3818K03R07X  C2004 06 19.23716 16 20 50.73 -09 41 16.1          18.7  ck9589704
G3818K03R07X  C2004 06 19.24699 16 20 50.02 -09 41 10.2          18.6  ck9589704
G3818K03R07X  C2004 06 19.25687 16 20 48.98 -09 41 04.7          18.7  ck9589704
G3818K03R07X  C2004 06 19.26676 16 20 48.33 -09 40 57.7          18.9  ck9589704
G3818K03R07X  C2004 07 04.87659 16 09 20.90 -08 11 03.6          19.1 Vrl0105151
G3818K03R07X  C2004 07 04.88075 16 09 20.85 -08 11 03.0          19.1 Vrl0105151
G3818K03R07X  C2004 07 04.88414 16 09 20.83 -08 11 02.8          18.6 Vrl0105151
G3818K03R07X  C2007 05 15.46058 21 46 57.84 -03 22 52.3          22.2 Vou8883291
G3818K03R07X  C2007 05 15.46428 21 46 58.12 -03 22 49.3          21.8 Vou8883291
G3818K03R07X  C2007 05 15.46797 21 46 58.39 -03 22 45.6          21.7 Vou8883291
G3818K03R07X  C2007 06 14.36767 22 13 52.81 +04 00 29.4          21.5 Vov0706291
G3818K03R07X  C2007 06 14.37784 22 13 53.09 +04 00 38.5          21.6 Vov0706291
G3818K03R07X  C2007 06 14.38694 22 13 53.37 +04 00 46.2          21.8 Vov0706291
G3818K03R07X  C2007 08 10.32005 21 30 30.62 +12 30 40.4          19.5 Rrv2512H45
G3818K03R07X  C2007 08 10.32184 21 30 30.34 +12 30 39.4          19.5 Rrv2512H45
G3818K03R07X  C2007 08 10.32350 21 30 30.18 +12 30 39.8          19.3 Rrv2512H45
G3818K03R07X  C2007 08 10.32525 21 30 29.93 +12 30 39.0          19.3 Rrv2512H45
G3818K03R07X  C2007 08 10.32728 21 30 29.63 +12 30 38.8          19.4 Rrv2512H45
G3818K03R07X  C2007 08 13.27064 21 24 26.18 +12 20 32.9          19.2 Rov3102699
G3818K03R07X  C2007 08 13.29264 21 24 23.26 +12 20 26.6                ov3102699
G3818K03R07X  C2007 08 13.31469 21 24 20.48 +12 20 22.4                ov3102699
G3818K03R07X  C2007 08 13.33670 21 24 17.57 +12 20 14.4                ov3102699
G3818K03R07X  C2007 08 14.88329 21 21 03.54 +12 12 41.7          19.2 Vov3102151
G3818K03R07X  C2007 08 14.88481 21 21 03.33 +12 12 40.9          19.1 Vov3102151
G3818K03R07X  C2007 08 14.88729 21 21 03.00 +12 12 39.8          19.3 Vov3102151
G3818K03R07X  C2007 08 14.88947 21 21 02.68 +12 12 38.5          19.2 Vov3102151
G3818K03R07X  C2007 08 18.97477 21 12 25.35 +11 45 52.1          19.2 Vov3696198
G3818K03R07X  C2007 08 18.97655 21 12 25.13 +11 45 51.2          19.1 Vov3696198
